"시군구별(1)",2014.4/4,2015.4/4,2016.4/4,2017.4/4,2018.4/4,2019.4/4,2020.4/4,2021.4/4,2022.4/4,2023.4/4
"시군구별(1)",의사,의사,의사,의사,의사,의사,의사,의사,의사,의사
"전체",92927,95076,97713,100241,102471,105628,107976,109937,112321,114699
"서울",27465,27726,28189,28746,29378,30359,31140,32045,32704,33868
"부산",7341,7538,7637,7735,7852,8008,8102,8219,8356,8460
"대구",5195,5335,5495,5552,5721,5908,6013,6083,6192,6335
"인천",4167,4351,4469,4684,4893,5071,5130,5208,5375,5661
"광주",3194,3292,3434,3497,3547,3658,3676,3659,3751,3783
"대전",3307,3399,3455,3545,3629,3726,3680,3722,3773,3793
"울산",1542,1633,1702,1729,1726,1754,1762,1789,1808,1838
"세종",124,159,180,239,270,302,441,458,496,524
"경기",17543,18105,18846,19642,20355,21210,22173,22813,23893,24515
"강원",2477,2519,2575,2629,2661,2719,2793,2784,2778,2776
"충북",2247,2314,2389,2417,2472,2529,2541,2503,2542,2525
"충남",2855,2915,2995,3089,3114,3198,3244,3270,3242,3274
"전북",3351,3476,3522,3598,3619,3689,3682,3680,3694,3700
"전남",2887,2946,3042,3089,3086,3128,3140,3199,3172,3137
"경북",3464,3433,3515,3587,3619,3662,3655,3627,3615,3590
"경남",4807,4914,5221,5351,5392,5532,5619,5683,5716,5691
"제주",961,1021,1047,1112,1137,1175,1185,1195,1214,1229
